frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
43,10_dg_4.mp4,0.17350037,0.26834935,0.6097951,0.2935749,0.42004165,1.0,0.70772743,0.12131772,1.0,0.46061185,0.7285188,0.59666944,0.5426888,1.0,0.434675,0.148293,0.99858946,0.31149527,0.08384908,0.15088238
44,10_dg_4.mp4,0.20822915,0.34539887,0.65426195,0.3238968,0.47873625,1.0,0.75552344,0.6322597,1.0,0.67915684,0.6808798,0.5162112,0.5242265,1.0,0.35885188,0.17583837,0.9985468,0.5152797,0.052487057,0.13746378
45,10_dg_4.mp4,0.16989513,0.38069302,0.54637164,0.3274853,0.4519639,1.0,0.71538913,0.081761435,1.0,0.7527149,0.6625178,0.543042,0.37456936,1.0,0.27295116,0.25105602,0.9997931,0.5463033,0.05357166,0.091551304
46,10_dg_4.mp4,0.17092565,0.3641387,0.63232607,0.29342633,0.43381009,1.0,0.6867457,0.04940191,1.0,0.7645344,0.6609979,0.6506882,0.37315884,1.0,0.23893714,0.28226626,0.99983263,0.47525102,0.051330205,0.11274824
47,10_dg_4.mp4,0.16429462,0.31243828,0.5531861,0.31396002,0.5839871,1.0,0.7262636,0.4121945,1.0,0.8045905,0.66618806,0.48183686,0.43731776,1.0,0.3233854,0.19983852,0.9996928,0.48369282,0.0760383,0.16356298
48,10_dg_4.mp4,0.22110689,0.24107207,0.6810876,0.30831188,0.55749035,1.0,0.68874013,0.7683237,1.0,0.6209,0.7193281,0.38219014,0.328362,1.0,0.30782712,0.256569,0.9997683,0.5831882,0.03651291,0.14130393
49,10_dg_4.mp4,0.22005989,0.35381737,0.5455562,0.3112703,0.5324379,1.0,0.73907334,0.6972317,0.0,0.67551214,0.7304825,0.6245509,0.4056114,1.0,0.53343046,0.22387508,0.99977356,0.36993665,0.08335014,0.09822602
50,10_dg_4.mp4,0.20440468,0.37085742,0.6358956,0.30619878,0.5409661,1.0,0.74648744,0.16745016,0.0,0.6442818,0.7031696,0.6433323,0.42181563,1.0,0.4949725,0.2579281,0.99940705,0.39078584,0.08015446,0.12182061
0,33_dg_3.mp4,0.15034252,0.08818872,0.44487455,0.22684003,0.510319,1.0,0.5803464,0.40459505,0.0,0.59115237,0.71125025,0.6512214,0.3058844,1.0,0.5658257,0.0408311,0.97284794,0.27355045,0.083608545,0.12946524
1,33_dg_3.mp4,0.17624393,0.11484001,0.48088396,0.22790983,0.5254742,1.0,0.54175353,0.6525469,1.0,0.60618186,0.6162676,0.71325535,0.3230709,1.0,0.5985744,0.03848322,0.98134184,0.19019033,0.20515282,0.13220315
2,33_dg_3.mp4,0.17993994,0.12083941,0.53765947,0.21587595,0.5512186,1.0,0.55253386,0.83183646,0.0,0.5544558,0.6313548,0.7366872,0.2903074,1.0,0.4781609,0.042903133,0.9741776,0.23892397,0.09385387,0.16922045
3,33_dg_3.mp4,0.17035879,0.11788488,0.49363098,0.22684003,0.5299434,1.0,0.5390271,0.4883858,1.0,0.6195183,0.67741144,0.673055,0.3152384,1.0,0.47222465,0.032648537,0.99092823,0.36678046,0.110648066,0.2351082
4,33_dg_3.mp4,0.15542209,0.102680266,0.43928117,0.22710721,0.53576624,1.0,0.6181057,0.5462209,0.0,0.61361843,0.66577065,0.7836657,0.31933627,1.0,0.46621582,0.027239267,0.99792224,0.23614287,0.06420349,0.12676123
5,33_dg_3.mp4,0.14797008,0.114392936,0.50846606,0.22710721,0.54223967,1.0,0.6091489,0.38819173,0.0,0.589994,0.6116192,0.8229308,0.3175029,1.0,0.53443974,0.026316397,0.99950767,0.20958981,0.058713973,0.21327792
6,33_dg_3.mp4,0.1490259,0.105979346,0.5342765,0.2264606,0.41829163,1.0,0.55790675,0.3716341,1.0,0.4264848,0.61747277,0.79341763,0.32134286,1.0,0.5334827,0.019452356,0.99947196,0.36045387,0.019229244,0.10725325
7,33_dg_3.mp4,0.16809161,0.10298413,0.48077255,0.2264606,0.40798995,1.0,0.5386688,0.39530286,0.0,0.48539656,0.55481285,0.7981438,0.3375913,1.0,0.5107112,0.016504243,0.9989497,0.2475593,0.033679187,0.16848093
8,33_dg_3.mp4,0.1506267,0.10619225,0.48242027,0.2264606,0.39884868,1.0,0.5470584,0.12403529,1.0,0.35961998,0.5288713,0.7633794,0.3029006,1.0,0.5692257,0.020049151,0.99896276,0.3000057,0.028591122,0.0894432
9,33_dg_3.mp4,0.1602175,0.10530848,0.5725368,0.22576827,0.49848562,1.0,0.6749057,0.5595886,1.0,0.3863162,0.6004696,0.69048405,0.31119633,1.0,0.4889153,0.018283037,0.9987531,0.3794199,0.05098443,0.111270815
10,33_dg_3.mp4,0.15544935,0.10186611,0.540782,0.22619392,0.5016603,1.0,0.65969634,0.73727983,1.0,0.4138984,0.59770525,0.66417915,0.30244452,1.0,0.43628433,0.01785674,0.9977551,0.384938,0.050375152,0.11776779
11,33_dg_3.mp4,0.15326494,0.11242688,0.4886078,0.22619392,0.56743914,1.0,0.6771655,0.6531237,1.0,0.4328244,0.5899083,0.7668434,0.34140447,1.0,0.53734297,0.017002141,0.9973278,0.33696404,0.049927525,0.10008515
12,33_dg_3.mp4,0.15270269,0.113591075,0.4856362,0.22619392,0.50394064,1.0,0.6193595,0.5635914,1.0,0.370123,0.6171075,0.7803914,0.32592928,1.0,0.56314725,0.023232466,0.99658835,0.4117345,0.060719438,0.09548374
13,33_dg_3.mp4,0.16299924,0.11792693,0.52558106,0.22726162,0.58552057,1.0,0.6335298,0.6617053,1.0,0.49033946,0.56357515,0.80306715,0.27643737,1.0,0.49352428,0.016771574,0.99400216,0.35773218,0.024962487,0.10407115
14,33_dg_3.mp4,0.15203239,0.10345753,0.43557635,0.22619392,0.4710134,1.0,0.6373434,0.8824596,1.0,0.37321004,0.53736824,0.57698447,0.33976704,1.0,0.5379936,0.020671144,0.99841833,0.38117036,0.039347935,0.15617104
15,33_dg_3.mp4,0.15304068,0.105031446,0.61071706,0.22619392,0.46316677,1.0,0.60600793,0.38443863,1.0,0.3455217,0.54201984,0.59631145,0.30110022,1.0,0.521864,0.019568883,0.9987147,0.28767964,0.026939284,0.14592391
16,33_dg_3.mp4,0.1523333,0.11143745,0.38547736,0.22576827,0.56705993,1.0,0.62899846,0.9083825,1.0,0.41555783,0.5440476,0.6051899,0.31461477,1.0,0.55988187,0.017347112,0.9967026,0.34314382,0.038685635,0.11418232
17,33_dg_3.mp4,0.12739569,0.12736234,0.6205619,0.22576827,0.5541167,1.0,0.6640795,0.49827954,1.0,0.3414906,0.5518747,0.6702896,0.32150808,1.0,0.522285,0.0159835,0.9963516,0.26262993,0.04434652,0.11234057
18,33_dg_3.mp4,0.12437771,0.115144126,0.3507973,0.22576827,0.6499634,1.0,0.6206451,0.6894382,1.0,0.5163093,0.6041783,0.5706185,0.29415265,1.0,0.41826186,0.015848106,0.99993324,0.2985652,0.029825281,0.10986672
19,33_dg_3.mp4,0.14318581,0.11928525,0.34255424,0.22576827,0.58724755,1.0,0.598567,0.61665916,1.0,0.41421527,0.56590104,0.713162,0.33571687,1.0,0.49828866,0.017220417,0.9997011,0.40284696,0.068776995,0.09846659
20,33_dg_3.mp4,0.14054829,0.10421591,0.6322412,0.22576827,0.6208051,1.0,0.625441,0.31729516,1.0,0.48475367,0.68282485,0.6526083,0.33577168,1.0,0.47792634,0.01895304,0.9997067,0.41344333,0.032835774,0.118148826
21,33_dg_3.mp4,0.13523427,0.13762926,0.538958,0.22576827,0.50817585,1.0,0.5958296,0.5976144,1.0,0.3125131,0.5410951,0.60369986,0.3391642,1.0,0.53223133,0.01681803,0.99972206,0.29074177,0.032219715,0.085390285
22,33_dg_3.mp4,0.14269592,0.13554144,0.5532966,0.22576827,0.5244995,0.0,0.6111313,0.8032397,1.0,0.32573837,0.5705288,0.6779515,0.33007717,1.0,0.5271568,0.016222037,0.9998398,0.2995729,0.027088687,0.07396798
23,33_dg_3.mp4,0.16805354,0.115340166,0.55070966,0.22683452,0.57234883,1.0,0.67408514,0.12177118,1.0,0.35446623,0.6015227,0.7681195,0.32888514,1.0,0.41485086,0.015062991,0.9987374,0.28432086,0.025442893,0.10072275
24,33_dg_3.mp4,0.12950197,0.10655569,0.34675133,0.22619392,0.7000461,1.0,0.605882,0.91781914,1.0,0.6380856,0.64643717,0.69031835,0.33167925,1.0,0.377421,0.013688763,0.9998692,0.37935594,0.035440035,0.08249327
25,33_dg_3.mp4,0.16477554,0.12086331,0.43202576,0.22576827,0.5782052,1.0,0.66491747,0.58727384,1.0,0.4152356,0.5640663,0.6037318,0.33373883,1.0,0.47744894,0.0123735415,0.99986124,0.31336117,0.033025287,0.10110602
26,33_dg_3.mp4,0.14622398,0.1198512,0.46144173,0.22726162,0.66383815,1.0,0.5859963,0.475745,1.0,0.6141897,0.69170696,0.48200196,0.3445321,1.0,0.4646825,0.015137999,0.99983287,0.3970507,0.0102070505,0.15544342
27,33_dg_3.mp4,0.13338439,0.11850711,0.367461,0.22726162,0.66024685,1.0,0.5881498,0.85948515,1.0,0.68355715,0.6621934,0.5874399,0.3103683,1.0,0.44235435,0.013543967,0.99936265,0.3617917,0.008395239,0.15078443
28,33_dg_3.mp4,0.15721492,0.12532403,0.36502585,0.22576827,0.65481883,1.0,0.619864,0.34895158,1.0,0.5537217,0.63538826,0.4646559,0.3192553,1.0,0.44803593,0.01312649,0.9994783,0.19085631,0.022995494,0.08415096
29,33_dg_3.mp4,0.15876906,0.111096606,0.3096138,0.22576827,0.5908559,1.0,0.6243952,0.35825166,1.0,0.39466903,0.55092674,0.6842624,0.27818984,1.0,0.47972405,0.015666744,0.9990602,0.1864039,0.031939626,0.115276
30,33_dg_3.mp4,0.14677115,0.11883097,0.43292645,0.22576827,0.5890351,1.0,0.6563999,0.6942658,1.0,0.4291265,0.5438431,0.6842287,0.27190727,1.0,0.41681144,0.015604151,0.9945582,0.17443478,0.021027746,0.068550184
31,33_dg_3.mp4,0.18870488,0.12154725,0.50210184,0.22683452,0.52414495,1.0,0.65697575,0.24686532,1.0,0.31185195,0.55725664,0.45691657,0.2816897,1.0,0.40867952,0.016732538,0.99921334,0.26459944,0.04530412,0.094500445
32,33_dg_3.mp4,0.2057989,0.1293714,0.44878536,0.22683452,0.52771777,1.0,0.6568094,0.45327422,0.0,0.3496813,0.56909937,0.5416127,0.27302453,1.0,0.4107483,0.017035574,0.99943537,0.23909892,0.04994137,0.10178855
33,33_dg_3.mp4,0.14909096,0.13234392,0.3307237,0.22683452,0.6269882,1.0,0.59253293,0.89333,0.0,0.4023957,0.588781,0.68654054,0.29959235,1.0,0.4938311,0.015758876,0.99876875,0.27748534,0.06285669,0.10334396
34,33_dg_3.mp4,0.1522457,0.14375809,0.44589987,0.22683452,0.63702786,1.0,0.6701185,0.8044653,1.0,0.5168217,0.5436027,0.47342718,0.28741345,1.0,0.38133004,0.06405165,0.9963445,0.0969224,0.111086294,0.0661359
35,33_dg_3.mp4,0.18510632,0.100199,0.54466623,0.22683452,0.63958,1.0,0.66507024,0.4317055,0.0,0.49363965,0.5652645,0.3821093,0.26288125,1.0,0.39595672,0.019784378,0.99860746,0.15397714,0.027852634,0.06800197
36,33_dg_3.mp4,0.1535531,0.12894185,0.43655655,0.22683452,0.6169249,1.0,0.5700832,0.8120158,1.0,0.5021998,0.6471791,0.6520652,0.29199034,1.0,0.5612826,0.01741997,0.9974111,0.19562694,0.02643313,0.06897941
37,33_dg_3.mp4,0.15133673,0.13609868,0.36767778,0.22683452,0.6169249,1.0,0.58082765,0.44491476,1.0,0.5349319,0.6571706,0.6696731,0.29229477,1.0,0.5458404,0.018001799,0.9981787,0.18690868,0.046081804,0.0776826
38,33_dg_3.mp4,0.17853202,0.16570148,0.4417956,0.22726162,0.67120105,1.0,0.5765934,0.92805856,1.0,0.66339844,0.61212784,0.5086577,0.2996308,1.0,0.4618603,0.015611072,0.9965669,0.2325899,0.037985932,0.101773754
39,33_dg_3.mp4,0.14182207,0.13567297,0.30344006,0.30114847,0.7420064,1.0,0.42897612,0.9756178,1.0,0.7126601,0.6470263,0.47430974,0.2708286,1.0,0.44709674,0.015570148,0.99624145,0.2479999,0.053688444,0.046931174
40,33_dg_3.mp4,0.14262989,0.13935505,0.30432758,0.3065527,0.73232776,1.0,0.4596822,0.9737934,1.0,0.7061897,0.61575156,0.5418579,0.26971057,1.0,0.43233338,0.015981078,0.99794596,0.21032637,0.020279871,0.044333864
41,33_dg_3.mp4,0.13613756,0.15844154,0.252345,0.28942823,0.70934254,1.0,0.4110409,0.9161267,1.0,0.8006715,0.6065312,0.69759184,0.3003267,1.0,0.5541214,0.015499755,0.9998041,0.31810433,0.05099479,0.04190512
42,33_dg_3.mp4,0.13312292,0.1553429,0.43320528,0.28942823,0.7241736,1.0,0.46514493,0.93020546,1.0,0.69818765,0.5835033,0.6171298,0.3225113,1.0,0.4728693,0.019742632,0.9975338,0.28411707,0.024579136,0.06080399
43,33_dg_3.mp4,0.1339686,0.15943538,0.3544288,0.28942823,0.7296651,1.0,0.40746263,0.9786162,1.0,0.7620484,0.70503217,0.70455736,0.29533118,1.0,0.47808644,0.018003054,0.99478626,0.17782153,0.022312233,0.040979166
44,33_dg_3.mp4,0.13974799,0.13032924,0.35602596,0.22726162,0.7013898,1.0,0.5565767,0.77847147,1.0,0.7015887,0.6392711,0.49704704,0.27187586,1.0,0.5530562,0.019717427,0.99484766,0.16267063,0.024398869,0.09034201
